code;core;country;name
RKM;RKM;USA;ROCKINGHAM PARK
RM ;RM ;USA;ROSS MEADOWS
ROP;ROP;USA;ROUND UP PARK
RP ;RP ;USA;REMINGTON PARK
RPD;RPD;CAN;ROSSBURN PARKLAND DOWNS
RUI;RUI;USA;RUIDOSO DOWNS
RUP;RUP;USA;RUPERT DOWNS
SA ;SA ;USA;SANTA ANITA PARK
SAC;SAC;USA;SACRAMENTO
SAF;SAF;USA;GRAHAM COUNTY FAIR @ SAFFORD
SAL;SAL;USA;SALEM
SAR;SAR;USA;SARATOGA
SDY;SDY;USA;SANDY DOWNS
SFE;SFE;USA;SANTA FE
SH ;SH ;USA;STRAWBERRY HILL
SHW;SHW;USA;SHAWAN DOWNS
SJ ;SJ ;USA;APACHE COUNTY FAIR @ ST. JOHNS
SJD;SJD;USA;SAN JUAN DOWNS
SLR;SLR;USA;SAN LUIS REY TRAINING CENTER
SND;SND;CAN;SUNFLOWER
SOL;SOL;USA;SOLANO
SON;SON;USA;SANTA CRUZ COUNTY FAIR @ SONOITA
SOP;SOP;USA;SOUTHERN PINES
SPG;SPG;USA;ILLINOIS STATE FAIR
SPT;SPT;USA;SPORTSMAN'S PARK
SR ;SR ;USA;SANTA ROSA
SRP;SRP;USA;SUNRAY PARK
STK;STK;USA;STOCKTON
STL;STL;USA;ST LOUIS
STN;STN;USA;STONEYBROOK AT FIVE POINTS
STP;STP;CAN;STAMPEDE PARK
SUD;SUD;USA;SUN DOWNS
SUF;SUF;USA;SUFFOLK DOWNS
SUN;SUN;USA;SUNLAND PARK
SWF;SWF;USA;SWEETWATER DOWNS
TAM;TAM;USA;TAMPA BAY DOWNS
TDN;TDN;USA;THISTLEDOWN
TGD;TGD;USA;TIOGA DOWNS
TIL;TIL;USA;TILLAMOOK COUNTY FAIR
TIM;TIM;USA;TIMONIUM
TP ;TP ;USA;TURFWAY PARK
TRM;TRM;USA;TRINITY MEADOWS
TRY;TRY;USA;TRYON
TS ;TS ;CAN;TROUT SPRINGS
TUP;TUP;USA;TURF PARADISE
UN ;UN ;USA;EASTERN OREGON LIVESTOCK SHOW
UNI;UNI;USA;PENNSYLVANIA HUNT CUP
VEG;VEG;CAN;VEGRIVILLE AGRICULTURAL SOCIETY
WBR;WBR;USA;WEBER DOWNS
WCD;WCD;USA;WELLS CO FAIR
WDS;WDS;USA;THE WOODLANDS
WIL;WIL;USA;WILLOWDALE STEEPLECHASE
WMF;WMF;USA;WESTERN MT FAIR
WNT;WNT;USA;WINTERTHUR
WO ;WO ;CAN;WOODBINE
WPR;WPR;USA;WHITE PINE RACEWAY
WRD;WRD;USA;WILL ROGERS DOWNS
WTS;WTS;USA;WAITSBURG RACE TRACK
WW ;WW ;USA;WALLA WALLA
WYO;WYO;USA;WYOMING DOWNS
YAV;YAV;USA;YAVAPAI DOWNS
YD ;YD ;USA;YELLOWSTONE DOWNS
YKT;YKT;CAN;YORKTON EXH. ASSOC.
YM ;YM ;USA;YAKIMA MEADOWS
YMA;YMA;USA;YUMA COUNTY FAIR
ZIA;ZIA;USA;ZIA PARK
AAL;AAL;DEN;AALBORG
AAR;AAR;SWI;AARAU
ABB;ABB;FR ;ABBEVILLE
ABP;ABP;AUS;BELMONT
ABU;ABU;UAE;ABU DHABI
ABY;ABY;AUS;ALBURY
AC ;AC ;MEX;AGUA CALIENTE
ACH;ACH;AUS;CHELTENHAM
ACV;ACV;FR ;AGON-COUTAINVILLE
AD ;AD ;TUR;ADANA
ADB;ADB;AUS;ADAMINABY
ADI;ADI;OMN;AL ADIYAT
ADR;ADR;AUS;ADELAIDE RIVER
AEP;AEP;FR ;AIX-EN-PROVENCE
AFJ;AFJ;OMN;AL FELAIJ
AGE;AGE;FR ;AGEN
AIN;AIN;ENG;AINTREE
AJA;AJA;FR ;AJACCIO
AL ;AL ;ITY;ALBENGA
ALA;ALA;UAE;AL AIN
ALD;ALD;GER;ALTDORF
ALN;ALN;FR ;ALENCON
ALO;ALO;GER;ALTOTTING
ALX;ALX;AUS;ALEXANDRA
AM ;AM ;ITY;AMELIA
AMI;AMI;FR ;AMIENS
ANC;ANC;AUS;NEWCASTLE
AND;AND;COL;ANDES
ANG;ANG;FR ;ANGERS
ANK;ANK;TUR;YIL ANKARA
ANT;ANT;SPA;ANTELA
APH;APH;AUS;ALPHA
ARA;ARA;JPN;ARAO
ARC;ARC;AUS;ARAMAC
ARD;ARD;AUS;ARDLETHAN
ARG;ARG;FR ;ARGENTAN
ARL;ARL;SAF;ARLINGTON
ARM;ARM;AUS;ARMIDALE
ARR;ARR;FR ;ARRAS
ART;ART;AUS;ARARAT
ASC;ASC;ENG;ASCOT
ASH;ASH;NZ ;ASHBURTON
ASN;ASN;AUS;SANDOWN
ASP;ASP;NZ ;ASCOT PARK
ASR;ASR;AUS;ASCOT
AUC;AUC;NZ ;AUCKLAND
AUG;AUG;AUS;AUGATHELLA
AUL;AUL;FR ;AULLENE
AUR;AUR;GTM;LA AURORA
AUT;AUT;FR ;AUTEUIL
AVC;AVC;AUS;AVOCA SHIRE
AVE;AVE;SWI;AVENCHES
AVI;AVI;FR ;AVIGNON
AVL;AVL;AUS;ADAVALE
AVO;AVO;NZ ;AVONDALE
AVR;AVR;FR ;AVRANCHES
AWA;AWA;NZ ;AWAPUNI
AWP;AWP;NZ ;AWAKINO POINT
AYR;AYR;ENG;AYR
AZL;AZL;ARG;AZUL
BAD;BAD;GER;BADEN BADEN
BAH;BAH;BHR;RASHID EQUESTRIAN CLUB
BAN;BAN;IND;BANGALORE
BAT;BAT;ENG;BATH & SOMERSET COUNTY
BAY;BAY;FR ;BAYEUX
BBG;BBG;AUS;BUNDABERG
BBR;BBR;AUS;BUNBURY
BBT;BBT;AUS;BURRUMBEET
BBY;BBY;FR ;BIARRITZ-BAYONNE
BBZ;BBZ;FR ;BARBEZIEUX
BCH;BCH;AUS;BUCHAN
BCK;BCK;AUS;BARROW CREEK
BDA;BDA;AUS;BUNDARRA
BDN;BDN;AUS;BARADINE
BDR;BDR;AUS;BEDOURIE
BDS;BDS;AUS;BEAUDESERT
BDW;BDW;AUS;BRAIDWOOD
BED;BED;AUS;BEDGERABONG
BEG;BEG;AUS;BEGA
BEN;BEN;AUS;BENDIGO
BET;BET;AUS;BETOOTA
BEV;BEV;ENG;BEVERLEY
BGR;BGR;AUS;BINGARA
BH ;BH ;GER;BAD-HARZBURG
BIL;BIL;GER;BILLIGHEIM
BIN;BIN;AUS;BINNAWAY
BKA;BKA;AUS;BALAKLAVA
BKL;BKL;AUS;BLACKALL
BKT;BKT;AUS;BURKETOWN
BLF;BLF;AUS;BLUFF
BLI;BLI;GER;BLIESKASTEL
BLL;BLL;IRE;BELLEWSTOWN
BLN;BLN;IRE;BALLINROBE
BLR;BLR;AUS;BALRANALD
BNA;BNA;AUS;BANANA
BNG;BNG;KOR;BUSAN GYEONGNAM
BOD;BOD;ENG;BANGOR-ON-DEE
BOP;BOP;NZ ;BAY OF PLENTY
BOR;BOR;FR ;LA TESTE DE BUCH
BOT;BOT;BEL;BOITSFORT
BOU;BOU;AUS;BOULIA
BOV;BOV;FR ;BOUVRON
BPA;BPA;SWE;BRO PARK
BRA;BRA;AUS;BOOROWA
BRB;BRB;AUS;BARRABA
BRC;BRC;AUS;BARCALDINE
BRE;BRE;GER;BREMEN
BRG;BRG;ENG;BRIGHTON
BRH;BRH;AUS;BROKEN HILL
BRI;BRI;AUS;BERRI
BRK;BRK;AUS;BOURKE
BRM;BRM;AUS;BROOME
BRW;BRW;AUS;BREWARRINA
BSM;BSM;FR ;BERCK-SUR-MER
BSP;BSP;FR ;BORDEAUX SPORTIVE
BSS;BSS;FR ;BEAUMONT-SUR-SARTHE
BTC;BTC;BAR;BARBADOS
BTH;BTH;AUS;BATHURST
BTN;BTN;AUS;BELTANA
BUD;BUD;HUN;BUDAPEST
BUG;BUG;FR ;BOUGUENAIS
BUI;BUI;ECU;HIPODROMO BUIJO
BUN;BUN;AUS;BUNGENDORE
BWL;BWL;AUS;BOWRAVILLE
BWR;BWR;AUS;BOWEN RIVER
CA ;CA ;ITY;CAGLIARI
CAB;CAB;ENG;CATTERICK BRIDGE
CAI;CAI;AUS;CAIRNS
CAN;CAN;AUS;CANOWINDRA
CAR;CAR;ENG;CARLISLE
CAU;CAU;AUS;CAULFIELD
CAV;CAV;FR ;CAVAILLON
CAY;CAY;JAM;CAYMANAS PARK
CAZ;CAZ;FR ;CAZAUBON BARBOTAN THERMES
CBB;CBB;AUS;COONABARABRAN
CBC;CBC;AUS;COME-BY-CHANCE
CBG;CBG;FR ;CABOURG
CBL;CBL;AUS;COONAMBLE
CBR;CBR;AUS;COBAR MINERS'
CDL;CDL;FR ;CHATEAU-DU-LOIR
CDM;CDM;MAU;CHAMP DE MARS
CDN;CDN;AUS;CEDUNA
CES;CES;AUS;CESSNOCK
CFT;CFT;AUS;CLIFTON
CGN;CGN;AUS;CUNGENA
CHC;CHC;CHI;CLUB HIPICO DE CONCEPCION
CHD;CHD;ENG;CHELMSFORD CITY
CHE;CHE;ENG;CHESTER
CHF;CHF;FR ;CHATELAIS-L'HOSTELLERIE
CHI;CHI;FR ;CHINON
CHM;CHM;ENG;CHELTENHAM
CHN;CHN;AUS;CHINCHILLA
CHO;CHO;FR ;CHOLET
CHS;CHS;CHI;CLUB HIPICO DE SANTIAGO
CHT;CHT;FR ;CHATEAUBRIANT
CHU;CHU;CZE;CHUCHLE
CHW;CHW;ENG;CHEPSTOW
CHY;CHY;FR ;CHANTILLY
CJD;CJD;BRZ;CIDADE JARDIM
CKT;CKT;AUS;COOKTOWN
CKW;CKW;AUS;CROOKWELL
CLA;CLA;SAF;CLAIRWOOD
CLB;CLB;AUS;COOLABAH
CLC;CLC;AUS;COLLARENEBRI COMBINED
CLE;CLE;AUS;COLERAINE
CLI;CLI;AUS;CLIFFORD PARK
CLN;CLN;IRE;CLONMEL
CLO;CLO;GER;CLOPPENBURG
CLP;CLP;AUS;CALLIOPE
CLR;CLR;AUS;CLERMONT
CLT;CLT;FR ;CERCY-LA-TOUR
CLU;CLU;FR ;CLUNY
CMB;CMB;AUS;CAMBOON
CMP;CMP;FR ;COMPIEGNE
CMW;CMW;AUS;CAMOOWEAL
CNA;CNA;AUS;CANBERRA ACTON
CNB;CNB;AUS;CANBERRA
CNM;CNM;FR ;CONDOM
CNO;CNO;ITY;CASARANO
CNS;CNS;FR ;CHATEAUNEUF SUR CHARENTE
COE;COE;AUS;COEN
COF;COF;AUS;COFF'S
COH;COH;FR ;COMPIEGNE HIPPIQUE
COM;COM;FR ;COMBREE
CON;CON;AUS;CONDOBOLIN
COO;COO;AUS;COOMA
COP;COP;DEN;COPENHAGEN
COR;COR;IRE;CORK
COT;COT;AUS;COOTAMUNDRA
COU;COU;FR ;COURTOMER
COV;COV;ENG;COVENTRY
COW;COW;AUS;COWRA
CP ;CP ;ITY;CAPALBIO
CPG;CPG;FR ;COMPEIGNE
CPL;CPL;AUS;CAPELLA
CPR;CPR;PAN;PRESIDENTE REMON
CR ;CR ;ITY;CORTONA
CRA;CRA;FR ;CRAON
CRD;CRD;AUS;CARINDA
CRF;CRF;AUS;CORFIELD
CRI;CRI;BRZ;CRISTAL
CRO;CRO;NZ ;CROMWELL
CRP;CRP;FR ;CARPENTRAS
CRR;CRR;FR ;CHARTRES
CSC;CSC;FR ;CHATILLON-SUR-CHALARONNE
CSM;CSM;FR ;CAGNES-SUR-MER
CSS;CSS;FR ;CHATEAUNEUF-SUR-SARTHE
CTM;CTM;ENG;CARTMEL
CTN;CTN;FR ;CASTELSARRASIN
CTR;CTR;FR ;CHATEAUROUX
CUE;CUE;AUS;CUE
CUN;CUN;AUS;CUNNAMULLA
CUR;CUR;IRE;CURRAGH
CUX;CUX;GER;CUXHAVEN
CVL;CVL;AUS;COLLINSVILLE
CVR;CVR;FR ;CASTERA-VERDUZAN
CYO;CYO;JPN;CHUKYO
DAJ;DAJ;AUS;DAJARRA HACK
DAL;DAL;AUS;DALBY & NORTHERN DOWNS
DAM;DAM;NZ ;DAMARU
DAR;DAR;NZ ;DARGAVILLE
DAX;DAX;FR ;DAX
DBY;DBY;AUS;DERBY
DCH;DCH;AUS;DUCHESS HACK
DDR;DDR;AUS;DEDERANG
DEA;DEA;FR ;DEAUVILLE
DEG;DEG;AUS;DEAGON
DEN;DEN;AUS;DENILIQUIN
DEV;DEV;ENG;DEVON & EXETER
DGA;DGA;AUS;DONGARA
DHR;DHR;SPA;DOS HERMANAS
DIE;DIE;SWI;DIELSDORF
DIN;DIN;FR ;DINAN
DIR;DIR;AUS;DIRRANBANDI DIGGERS'
DLB;DLB;FR ;DIVONNE-LES-BAINS
DLV;DLV;COL;DE LA VILLA
DMN;DMN;AUS;DENMAN
DNG;DNG;AUS;DINGO
DNK;DNK;AUS;DUNKELD
DOB;DOB;GER;BAD DOBERAN
DOH;DOH;QA ;DOHA
DOL;DOL;ARG;HIPODROMO DE DOLORES
DON;DON;ENG;DONCASTER
DOO;DOO;AUS;DOOMBEN
DOR;DOR;GER;DORTMUND
DOW;DOW;IRE;DOWNPATRICK
DPP;DPP;FR ;DIEPPE
DR ;DR ;IRE;DOWN ROYAL
DRB;DRB;SAF;DURBANVILLE
DRE;DRE;GER;DRESDEN
DRG;DRG;GER;DRENSTEINFURT
DRU;DRU;AUS;DROUIN
DRW;DRW;AUS;DARWIN
DRX;DRX;FR ;DREUX
DUA;DUA;AUS;DUARINGA
DUB;DUB;AUS;DUBBO
DUI;DUI;HOL;DUINDIGT
DUR;DUR;FR ;DURTAL
DUS;DUS;GER;DUSSELDORF
DWT;DWT;AUS;DEEPWATER
EAU;EAU;FR ;EAUZE
EBY;EBY;AUS;ESPERANCE BAY
ECH;ECH;AUS;ECHUCA
ECO;ECO;FR ;ECOMMOY
EDI;EDI;ENG;EDINBURGH
EF ;EF ;AUS;EAGLE FARM
EGM;EGM;NZ ;EGMONT
EGN;EGN;FR ;ENGHIEN
EHP;EHP;AUS;EDENHOPE
EID;EID;AUS;EIDSVOLD
EIN;EIN;AUS;EINASLEIGH
ELB;ELB;FR ;ELBEUF
ELL;ELL;NZ ;ELLERSLIE
ELW;ELW;AUS;ELWICK
EMR;EMR;AUS;EMERALD
ENN;ENN;AUS;ENNGONIA
EPS;EPS;ENG;EPSOM
ERD;ERD;GER;ERDING
ERM;ERM;AUS;EROMANGA
ESK;ESK;AUS;ESK
EVR;EVR;FR ;EVRY
EVX;EVX;FR ;EVREUX
EWN;EWN;AUS;EWAN
EXE;EXE;ENG;EXETER
EXM;EXM;AUS;EXMOUTH
FAH;FAH;IRE;FAIRYHOUSE
FBL;FBL;FR ;FONTAINEBLEAU
FEH;FEH;SWI;FEHRALTORF
FEI;FEI;NZ ;FEILDING
FEN;FEN;FR ;FENEU
FEU;FEU;FR ;FEURS
FIN;FIN;AUS;FINDON
FIR;FIR;ITY;FIRENZE
FKN;FKN;ENG;FAKENHAM
FKS;FKS;JPN;FUKUSHIMA
FLE;FLE;AUS;FLEMINGTON
FLN;FLN;AUS;FLINTON
FLS;FLS;ENG;FFOS LAS
FOL;FOL;ENG;FOLKESTONE
FOR;FOR;AUS;FORBES
FOU;FOU;FR ;FOUGERES
FOX;FOX;NZ ;FOXTON
FPK;FPK;SAF;FLAMINGO PARK
FRA;FRA;SWI;FRAUENFELD
FRK;FRK;GER;FRANKFURT
FRO;FRO;GER;FRONTENHAUSEN
FTZ;FTZ;AUS;FITZROY VALLEY
FUC;FUC;JPN;FUCHU
FUK;FUK;JPN;FUKUYAMA
FUN;FUN;JPN;FUNABASHI
FVW;FVW;SAF;FAIRVIEW
GAB;GAB;FR ;GABARRET
GAL;GAL;IRE;GALWAY
GAN;GAN;GER;GANGKOFEN
GAR;GAR;BAR;GARRISON
GAS;GAS;AUS;GASCOYNE
GAT;GAT;AUS;GATTON
GAW;GAW;AUS;GAWLER
GAY;GAY;AUS;GAYNDAH
GBG;GBG;SWE;GOTHENBURG
GBN;GBN;AUS;GULARGAMBONE
GBW;GBW;AUS;GUNBOWER
GCO;GCO;FR ;GUER-COETQUIDAN
GEE;GEE;AUS;GEELONG
GEM;GEM;FR ;GEMOZAC
GEU;GEU;AUS;GEURIE
GH ;GH ;GER;GELSENKIRCHEN-HORST
GHL;GHL;BEL;MONS-GHLIN
GHT;GHT;UAE;GHANTOOT RACING AND POLO CLUB
GIS;GIS;NZ ;GISBORNE
GLG;GLG;AUS;GILGANDRA
GLI;GLI;AUS;GLEN INNES
GLS;GLS;ENG;GREAT LEIGHS
GND;GND;AUS;GUNDAGAI-ADELONG
GON;GON;AUS;GOONDIWINDI
GOO;GOO;ENG;GOODWOOD
GOS;GOS;SAF;GOSFORTH PARK
GOT;GOT;GER;GOTHA
GOU;GOU;AUS;GOULBRUN
GOW;GOW;IRE;GOWRAN PARK
GPA;GPA;NZ ;GATE PA
GPE;GPE;FR ;GUEMENE-PENFAO
GPM;GPM;FR ;GRANVILLE-ST PAIR SUR MER
GRA;GRA;AUS;GRAFTON
GRF;GRF;AUS;GRIFFITH
GRL;GRL;BEL;GROENENDAEL
GRN;GRN;AUS;GRENFELL
GRT;GRT;FR ;GRAMAT
GRV;GRV;SAF;GREYVILLE
GRW;GRW;AUS;GREAT WESTERN
GSG;GSG;FR ;GRENADE SUR GARONNE
GST;GST;AUS;GOLD COAST
GTN;GTN;AUS;GERALDTON
GTW;GTW;AUS;GEORGETOWN
GUD;GUD;RUS;GUDERMES
GUE;GUE;FR ;GUERLESQUIN
GUL;GUL;AUS;GULGONG
GUN;GUN;AUS;GUNNEDAH
GUY;GUY;FR ;GUYANE
GVA;GVA;BRZ;GAVEA
GYM;GYM;AUS;GYMPIE
HAB;HAB;GER;HASSLOCH
HAK;HAK;JPN;HAKODATE
HAL;HAL;GER;HALLE
HAM;HAM;ENG;HAMILTON PARK
HAN;HAN;GER;HANNOVER
HAR;HAR;ARG;HIPODROMO ARGENTINO DE PALERMO
HAS;HAS;NZ ;HASTINGS
HAV;HAV;CUB;HAVANA
HAY;HAY;ENG;HAYDOCK PARK
HB ;HB ;NZ ;HAWKE'S BAY
HBG;HBG;GER;HAMBURG
HBL;HBL;AUS;HEBEL
HCH;HCH;CHI;HIPODROMO CHILE
HCK;HCK;AUS;HALLS CREEK
HCO;HCO;FR ;HIPPODROME CORSE
HDN;HDN;AUS;HALIDON
HEA;HEA;AUS;HEALESVILLE
HEI;HEI;GER;HEILIGENWALD
HER;HER;ENG;HEREFORD
HEU;HEU;GER;HEUFELD
HEX;HEX;ENG;HEXHAM
HIL;HIL;AUS;HILLSTON
HIM;HIM;JPN;HIMEJI
HIP;HIP;MEX;HIPODROMO DE LAS AMERICAS
HKR;HKR;AUS;HAWKER
HLA;HLA;COL;HIPO LOS ANDES
